model,input_scope,f1_macro,roc_auc,balanced_accuracy,phishing_recall,test_rows,protocol_id,comparison_note
lightgbm,URL and webpage-derived tabular features,0.999971,1.000000,0.999967,0.999934,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
xgboost,URL and webpage-derived tabular features,0.999913,1.000000,0.999918,0.999934,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
random_forest,URL and webpage-derived tabular features,0.999856,1.000000,0.999843,0.999736,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
logistic_regression,URL and webpage-derived tabular features,0.999538,0.999996,0.999521,0.999340,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
decision_tree,URL and webpage-derived tabular features,0.998845,0.998845,0.998845,0.998679,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
tfidf_logistic_regression,Raw URL text only,0.997747,0.999446,0.997424,0.994849,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
sentence_transformer_logistic_regression,Raw URL text only,0.980200,0.996591,0.979598,0.972395,35371,stratified_normalized_host_group_70_15_15_v1,"Same audited split; input scopes differ, so metrics are descriptive rather than interchangeable."
