protocol_id,representation,candidate_id,fit_scope,dataset_split,is_selected,n_train_rows,n_eval_rows,n_features,positive_label,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc,phishing_precision,phishing_recall,phishing_f1,phishing_support,legitimate_precision,legitimate_recall,legitimate_f1,legitimate_support,cm_phishing_as_phishing,cm_phishing_as_legitimate,cm_legitimate_as_phishing,cm_legitimate_as_legitimate,fit_seconds,predict_seconds,parameters_json
stratified_normalized_host_group_70_15_15_v1,tfidf_logistic_regression,tfidf_lr_c_4_00,train_validation,test,True,200424,35371,150000,0,0.997795,0.997424,0.998079,0.997424,0.997747,0.995504,0.999446,1.000000,0.994849,0.997418,15142,0.996159,1.000000,0.998076,20229,15064,78,0,20229,1.348037,0.008411,"{""classifier"": {""C"": 4.0}, ""representation"": {""analyzer"": ""char_wb"", ""dtype"": ""float32"", ""lowercase"": false, ""max_features"": 150000, ""min_df"": 2, ""ngram_range"": [3, 5], ""norm"": ""l2"", ""sublinear_tf"": true}}"
stratified_normalized_host_group_70_15_15_v1,sentence_transformer_logistic_regression,sentence_transformer_lr_c_4_00,train_validation,test,True,200424,35371,384,0,0.980634,0.979598,0.980840,0.979598,0.980200,0.960437,0.996591,0.982189,0.972395,0.977267,15142,0.979490,0.986801,0.983132,20229,14724,418,267,19962,10.609292,0.014324,"{""classifier"": {""C"": 4.0}, ""representation"": {""batch_size"": 128, ""embedding_dimensions"": 384, ""intended_use"": ""general sentence and short-paragraph embeddings"", ""language_scope"": ""English"", ""license"": ""apache-2.0"", ""max_wordpieces"": 256, ""model_id"": ""sentence-transformers/all-MiniLM-L6-v2"", ""normalize_embeddings"": true, ""precision"": ""float32"", ""revision"": ""1110a243fdf4706b3f48f1d95db1a4f5529b4d41"", ""trust_remote_code"": false}}"
