protocol_id,representation,candidate_id,fit_scope,dataset_split,is_selected,n_train_rows,n_eval_rows,n_features,positive_label,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc,phishing_precision,phishing_recall,phishing_f1,phishing_support,legitimate_precision,legitimate_recall,legitimate_f1,legitimate_support,cm_phishing_as_phishing,cm_phishing_as_legitimate,cm_legitimate_as_phishing,cm_legitimate_as_legitimate,fit_seconds,predict_seconds,parameters_json,parameters
stratified_normalized_host_group_70_15_15_v1,tfidf_logistic_regression,tfidf_lr_c_0_25,train,validation,False,165055,35369,150000,0,0.994996,0.994155,0.995663,0.994155,0.994882,0.989817,0.998767,1.000000,0.988310,0.994121,15141,0.991326,1.000000,0.995644,20228,14964,177,0,20228,0.760455,0.009667,"{""classifier"": {""C"": 0.25}, ""representation"": {""analyzer"": ""char_wb"", ""dtype"": ""float32"", ""lowercase"": false, ""max_features"": 150000, ""min_df"": 2, ""ngram_range"": [3, 5], ""norm"": ""l2"", ""sublinear_tf"": true}}",
stratified_normalized_host_group_70_15_15_v1,tfidf_logistic_regression,tfidf_lr_c_1_00,train,validation,False,165055,35369,150000,0,0.996438,0.995839,0.996905,0.995839,0.996358,0.992743,0.999004,1.000000,0.991678,0.995822,15141,0.993810,1.000000,0.996895,20228,15015,126,0,20228,0.616219,0.006373,"{""classifier"": {""C"": 1.0}, ""representation"": {""analyzer"": ""char_wb"", ""dtype"": ""float32"", ""lowercase"": false, ""max_features"": 150000, ""min_df"": 2, ""ngram_range"": [3, 5], ""norm"": ""l2"", ""sublinear_tf"": true}}",
stratified_normalized_host_group_70_15_15_v1,tfidf_logistic_regression,tfidf_lr_c_4_00,train,validation,True,165055,35369,150000,0,0.997427,0.996995,0.997761,0.996995,0.997371,0.994755,0.999131,1.000000,0.993990,0.996986,15141,0.995521,1.000000,0.997756,20228,15050,91,0,20228,0.765835,0.005751,"{""classifier"": {""C"": 4.0}, ""representation"": {""analyzer"": ""char_wb"", ""dtype"": ""float32"", ""lowercase"": false, ""max_features"": 150000, ""min_df"": 2, ""ngram_range"": [3, 5], ""norm"": ""l2"", ""sublinear_tf"": true}}",{'C': 4.0}
stratified_normalized_host_group_70_15_15_v1,sentence_transformer_logistic_regression,sentence_transformer_lr_c_0_25,train,validation,False,165055,35369,384,0,0.966326,0.963867,0.967406,0.963867,0.965490,0.931266,0.992431,0.973845,0.946767,0.960115,15141,0.960967,0.980967,0.970864,20228,14335,806,385,19843,4.874296,0.011632,"{""classifier"": {""C"": 0.25}, ""representation"": {""batch_size"": 128, ""embedding_dimensions"": 384, ""intended_use"": ""general sentence and short-paragraph embeddings"", ""language_scope"": ""English"", ""license"": ""apache-2.0"", ""max_wordpieces"": 256, ""model_id"": ""sentence-transformers/all-MiniLM-L6-v2"", ""normalize_embeddings"": true, ""precision"": ""float32"", ""revision"": ""1110a243fdf4706b3f48f1d95db1a4f5529b4d41"", ""trust_remote_code"": false}}",
stratified_normalized_host_group_70_15_15_v1,sentence_transformer_logistic_regression,sentence_transformer_lr_c_1_00,train,validation,False,165055,35369,384,0,0.973847,0.972153,0.974437,0.972153,0.973232,0.946587,0.994348,0.978138,0.960372,0.969174,15141,0.970736,0.983933,0.977290,20228,14541,600,325,19903,6.438368,0.009119,"{""classifier"": {""C"": 1.0}, ""representation"": {""batch_size"": 128, ""embedding_dimensions"": 384, ""intended_use"": ""general sentence and short-paragraph embeddings"", ""language_scope"": ""English"", ""license"": ""apache-2.0"", ""max_wordpieces"": 256, ""model_id"": ""sentence-transformers/all-MiniLM-L6-v2"", ""normalize_embeddings"": true, ""precision"": ""float32"", ""revision"": ""1110a243fdf4706b3f48f1d95db1a4f5529b4d41"", ""trust_remote_code"": false}}",
stratified_normalized_host_group_70_15_15_v1,sentence_transformer_logistic_regression,sentence_transformer_lr_c_4_00,train,validation,True,165055,35369,384,0,0.977155,0.975726,0.977616,0.975726,0.976627,0.953340,0.995211,0.980554,0.965788,0.973115,15141,0.974677,0.985663,0.980140,20228,14623,518,290,19938,8.590369,0.009161,"{""classifier"": {""C"": 4.0}, ""representation"": {""batch_size"": 128, ""embedding_dimensions"": 384, ""intended_use"": ""general sentence and short-paragraph embeddings"", ""language_scope"": ""English"", ""license"": ""apache-2.0"", ""max_wordpieces"": 256, ""model_id"": ""sentence-transformers/all-MiniLM-L6-v2"", ""normalize_embeddings"": true, ""precision"": ""float32"", ""revision"": ""1110a243fdf4706b3f48f1d95db1a4f5529b4d41"", ""trust_remote_code"": false}}",{'C': 4.0}
